actual,ae_persistence,ae_linear,ae_deep,ae_linear_mv,ae_deep_mv
752,3,16.4216,16.9078,16.1954,23.1409
753,6,18.8126,36.5699,18.5333,37.9505
754,9,21.1362,18.609,20.8496,5.96641
752,7,17.0324,9.64645,16.7836,1.1523
747,1,14.7302,15.1721,14.6026,11.6399
1126,57,56.0533,20.8381,57.1861,34.6368
1115,87,79.712,62.6865,80.8269,56.84
1144,59,48.2876,53.1247,49.3899,43.5711
1162,40,26.7991,32.0352,27.9258,23.9145
1160,23,14.4031,14.852,15.5402,8.70402
1162,17,11.9968,11.7119,13.1645,2.41316
1183,10,3.09209,2.61155,4.11748,1.77919
1202,10,17.7883,21.3813,16.7136,20.5207
1203,22,25.6306,53.7245,24.536,47.0927
1202,22,25.782,48.9519,24.6944,43.738
1183,6,3.43527,16.4768,2.46856,28.8531
1179,1,9.82215,1.82131,10.6,10.6901
137,33,41.5803,51.0832,41.4494,58.6373
138,43,48.6588,53.796,48.5096,53.5249
142,44,47.8623,51.2487,47.7012,50.3673
153,34,37.6063,45.7396,37.4554,44.0698
158,29,33.0128,49.2395,32.8641,49.2372
162,25,30.2848,41.8036,30.1476,47.3256
170,20,25.7525,36.1838,25.6565,39.1056
181,9,15.2379,16.6565,15.1608,23.1413
186,8,14.8924,17.2966,14.8249,19.6105
187,13,18.0808,13.3834,18.025,12.9568
187,16,20.2918,13.2659,20.2287,16.0545
187,17,20.8421,18.0275,20.7775,14.8469
36,0,2.09676,5.23788,2.09648,5.57648
32,6,4.03163,2.70134,4.01909,3.26512
34,6,3.77449,0.475747,3.75327,2.16488
34,7,4.28799,0.772462,4.26155,4.01403
35,4,1.62523,1.5578,1.59909,0.63155
35,1,0.678837,2.77331,0.653464,2.53135
36,3,1.80346,1.24605,1.78235,1.75604
38,4,1.85841,1.15356,1.83647,0.235706
40,1,0.390953,3.48049,0.410803,4.19793
41,3,1.15629,1.42907,1.1292,1.25028
39,6,3.47042,1.33284,3.44452,0.679155
36,8,4.87455,3.71565,4.84155,5.0448
91,9,2.91547,0.826148,2.50268,2.35791
87,19,11.1186,16.9389,10.6531,9.13842
93,14,7.47292,8.59977,6.97871,10.5366
91,18,9.52816,15.8587,9.01842,13.4285
95,9,3.34144,2.30233,2.83906,5.90407
99,5,0.325002,1.76533,0.171712,3.10322
100,8,2.77447,8.51687,2.25007,1.38247
106,6,1.20779,2.40545,0.670639,0.693765
107,11,3.48845,3.79944,2.94463,5.47651
109,1,3.92985,0.78528,4.4538,1.00396
104,7,2.27006,13.6982,1.72759,8.07661
104,5,0.397613,6.43096,0.935876,4.65755
219,0,32.6101,25.7899,33.2984,33.7637
194,24,7.60907,12.6777,8.39453,2.282
196,19,9.12397,3.52555,9.96722,16.0332
196,21,5.79063,26.2675,6.71815,20.9544
193,35,9.45215,6.17454,8.42949,6.93705
197,57,28.1027,35.621,26.9768,21.7935
219,44,11.0094,30.0595,9.83956,4.21966
218,44,15.8411,1.83753,14.7033,4.85038
215,44,16.9389,1.82444,15.83,7.68132
217,45,18.622,15.039,17.4695,5.25778
228,38,11.7814,20.4024,10.5595,13.5041
254,12,21.2535,1.96104,22.5126,11.7724
97,35,39.3396,34.7965,39.1214,30.7449
102,35,37.8353,28.8519,37.5637,36.11
107,29,34.3377,28.9814,34.0381,29.9282
113,28,31.6957,24.9987,31.3703,24.6614
115,28,31.0411,27.3525,30.7195,25.5503
119,24,27.8406,29.4254,27.5438,25.1414
132,15,16.3701,6.54796,16.132,12.5581
137,7,9.8157,0.436413,9.6093,4.82093
136,8,9.35327,2.01085,9.17435,1.96319
141,2,0.600118,4.69513,0.437578,6.84773
143,6,3.39701,8.69833,3.55644,8.81235
143,6,4.4381,10.2959,4.61416,4.77713
110,19,16.8021,16.49,15.9012,15.6168
106,26,21.0259,25.2555,20.0941,27.5417
106,24,20.4018,30.6023,19.45,28.2529
109,21,16.9255,20.9795,15.9748,19.2452
113,18,13.9224,20.4925,12.9629,14.2856
118,13,9.69998,12.5262,8.75889,12.2516
129,5,1.11961,5.99704,0.185473,4.17077
132,5,6.24667,7.88865,7.11467,4.48313
