bartik,dlemp,dlcov,uf
0.04317023229271415,0.1346568851462572,0.33706997526960963,AM
0.03793705230104842,-0.14058195062118944,0.4744212724413688,MA
0.04735854842034022,1.0012253814876004,0.3781407466395289,AM
0.04130366373203004,-0.08274760518423648,0.6309442295264317,MA
0.05794798734048218,0.9049192197531927,0.11821581416540701,AM
0.04039896876960311,0.5397993911812775,0.14080333563443595,MA
0.04740158845985239,0.5761949167383339,0.6769264487413423,AM
0.16628574267214372,0.26559254014519434,0.23151597846083036,MA
0.06314209522280288,0.2519729729211036,-0.1552919511617885,MA
0.04099744711843792,0.5489528816684387,0.3672741110382402,AM
0.040793826242828686,0.4802663211908627,0.057220796739573705,MA
0.04097942512304799,1.5535591332570613,0.29257592267074245,AM
0.07010939838978288,0.3834169708864019,0.10895340237300194,MA
0.057249409488473124,0.9743996964851572,0.5620061134508941,AM
0.04512126114990077,0.309910250054515,0.44968270492884355,MA
0.04320495552086393,0.9613695654905521,0.5389461172731901,AM
0.043330639918829315,0.5609625894858014,0.20313578247881292,MA
0.05134552045246277,0.19756136791529336,0.32878975355603907,AM
0.05087997943229941,0.7126249875195162,0.3585304307905065,MA
0.043320409960328446,0.4188201304554919,0.4548014932731875,AM
0.04118959868444105,0.3931485147025774,0.5406138203223936,AM
0.04146562297886809,0.5594053723638941,0.07402821080773168,MA
0.11124707859464934,0.47945758681601086,0.5063468393385729,AM
0.04141056469653,0.35179820709943965,0.15474587071287274,MA
0.062315827475605996,-0.2719337154836418,0.5572349689550797,AM
0.04250314859618889,0.18369235892773336,-0.06686980876103135,MA
0.04117358746320138,0.526744095203671,0.4622068250152829,AM
0.13752251050610573,-0.3495638028612303,0.41973426389717167,AM
0.04226586421404633,0.46262352194811296,0.08100053554443884,MA
0.0204296500840268,0.9481478058187748,0.29105974127189077,AM
0.0417897038625259,1.2494705760062792,0.6496438150155754,AM
0.04030435129081488,0.18403829541300915,0.4239489188613866,MA
0.04078693703160827,0.5678632573654399,0.4463587286415074,MA
0.04332184517310932,0.012917899375090459,0.6363545727471354,AM
0.05370817014584011,0.10491348838171871,-0.038745763734564426,MA
0.1364264921044198,1.0109352824093927,0.5272022970153301,AM
0.1368327246174989,0.12565557316708734,0.5126395879016004,AM
0.09048459271621494,0.5204344828726275,0.309260846237415,MA
0.14359174313654582,0.7249854530772152,0.3726859845709204,AM
0.07667846261285272,-0.17407621247676774,-0.11408304788810704,MA
0.04106471362442449,1.2577992700604075,0.4783531060690539,AM
0.03634670994072715,0.06899287148695142,0.25552511782466975,MA
0.0480701057512542,0.07788086703136383,0.47436833141960266,AM
0.04301591647898805,0.868595858066138,0.11121430436832913,MA
0.04132163969255446,1.1351745421613852,0.35794147723783704,AM
0.04157730548830628,0.4106599249852684,0.5285872359636085,MA
0.0518044189311662,0.009950330853168092,0.1274486485458891,PI
0.0536891725079641,0.9498101089718627,0.38471922505760864,AM
0.039203883097830586,0.48319567602332125,0.21771695676961172,PI
0.08612467875611209,0.21883865735274674,0.6392960853078417,AM
0.04003455381477037,-0.07676401621183815,0.004293728607563021,PI
0.04227777439552587,0.5142568945569312,0.28844482826696805,AM
0.03552320539368102,-0.2395822776573696,0.08906896976340585,PI
0.04062339346222942,1.4424782743142608,-0.05485628720863003,AM
0.04302992654016906,0.0620724286423777,0.10290930600126034,PI
0.0427745553025973,0.8605853266776643,0.7616387031955162,AM
0.13761302629871972,0.6875133628416893,0.033421926759602726,PI
0.0448155621412417,0.17386842108289632,0.3540742974159787,AM
0.040291940013396386,0.35709152382394865,0.11022240319099903,PI
0.03896505649931984,-0.34814004148889505,0.4518252884585469,PI
0.18205630295224567,1.1056275715379549,0.45505248228846495,AM
0.041503068302285236,-0.3051956549444893,0.3152877896493611,PI
0.04969434180312221,0.21027955456878802,0.14747380828759302,AM
0.036001856860654664,0.3624477230244736,0.1809610883049852,PI
0.04314625136763032,-0.48471447976230486,0.39893091923687307,AM
0.0440191893534171,0.5920510636885765,-0.043608739102775226,PI
0.04098188809790727,1.1742676499120202,0.4542134193891731,AM
0.03767606743870789,1.0204740843589666,-0.08635979473607419,PI
0.07727183994494115,0.8689857324758218,0.40268748103490365,AM
0.03596949351245473,0.9994411002063253,0.23162014057074976,PI
0.04435071417218778,0.2972515234679317,0.5123765874267534,AM
-0.003850074899085995,-0.1274933703732724,0.06013677206447985,PI
0.03962695971080118,0.755624122515332,0.6787548946161543,AM
0.15355989488051994,-0.10784852120640745,0.36292552408754064,PI
0.04307320987019407,1.222789076125412,0.3160206010679604,PI
0.041664170106362024,1.222940707032747,0.12830633234326128,AM
0.03903999406939814,0.23493150706625202,0.08974634698297998,PI
0.04065120436969994,0.8114642616228799,0.543649973179348,AM
0.03933334149979,1.112796923660066,0.3956334274821534,PI
0.14858740682162003,0.43728599298038917,0.0797724368422061,RR
0.048147400496173304,-0.1325981214415241,0.3065590939107493,PI
0.07317537690466279,-0.013325454597149396,0.26131526803494515,RR
0.040392385432444444,0.06262342320147157,0.09079846960081547,PI
0.04257961861474932,0.7230001437096264,0.06735748494730939,RR
0.03998454881434144,-0.09278173345096621,-0.06477987386682706,PI
0.02963633163951676,0.9834740575156031,0.567434009967256,RR
0.02329885460484144,0.5890204713510474,0.2184659403345429,PI
0.13182009653705856,0.5777578468339174,0.4535380615081267,RR
0.045048101481131295,1.4289750922347713,0.14901631521943534,PI
0.04214066613396391,1.0052661029484449,0.5236547995653194,RR
0.04107704150453354,0.6972039812555598,0.336695961007861,PI
0.08185330941970802,0.7051644925639626,0.15592064630012692,RR
0.038172127522989464,-0.11332868530700312,0.28522238077322026,PI
0.06113973518938927,0.31052834130295076,0.39304484963973596,RR
0.041310581352915765,0.20504980787151075,0.1448599200078671,PI
0.1284321618193173,0.4265185173059967,0.05955780423744401,TO
0.06667841388476378,0.24846135929849972,0.30940484745106445,PI
0.03763778586431532,-0.2616098321420057,0.266653449885921,TO
0.0417409548905107,0.3402829747989588,0.22484171014506946,PI
0.042615171544295526,0.6978977833185431,0.22984130981280698,TO
0.03239775077340719,-0.14118644404054392,0.4777906766902792,PI
0.03502673574925699,0.13562417329765314,-0.28129049641588777,TO
0.041121933209653884,0.03902934390573529,0.07267990468106161,PI
0.14641399837775784,0.6220091527266057,-0.20858829167754211,TO
0.039988757352801024,-0.06826797112900286,0.24479317252406008,PI
0.03409145257908028,0.32510847797089787,-0.09133594487205139,TO
0.038266661370292575,0.49247648509779424,0.19927870659961502,PI
0.03098239449184675,0.2324459439765233,0.38579972933255735,TO
0.03988534161833485,0.6387955047293672,0.045049520693094945,PI
0.04555851128200798,0.3755434282431152,0.25494822619767155,TO
0.03968097823649568,0.8704470422541692,0.5742507628265863,PI
0.03522924750668131,0.2858421455297737,-0.2589230378140912,TO
0.05221440116941016,0.47274711519148643,0.07110477115481162,PI
0.0019194527304389046,0.14052442811549323,-0.3513309007915814,TO
